Movement_Type,SAP_Reason_Movement,DELIS_Reason_Code,Partner,Reason_Code_Desc_FR,Reason_Code_Desc_NL,Reason_Code_Desc_EN
,    ,04  ,DELIS,RETOUR CLIENT,TERUGNAME KLANT,
Y05,8011,11  ,DELIS,Charity -THT-1,Charity -THT-1,
Y03,8113,113 ,DELIS,Correction Inventaire (-),Correctie Inventaris (-),
Y19,8012,12  ,DELIS,Hello Fresh,Hello Fresh,
Y17,8017,17  ,DELIS,RETOUR CLIENT QUALITE,TERUGZENDING KLANT KWALITEIT,
Y17,8018,18  ,DELIS,RETOUR CLIENT PRIX,TERUGZENDING KLANT PRIJS,
Y04,8183,183 ,DELIS,Correction Inventaire (+),Correctie Inventaris (+),
Y17,8019,19  ,DELIS,RETOUR CLIENT FRAICHEUR,TERUGZENDING KLANT VERSHEID,
Y09,8025,25  ,DELIS,VIN CONCOURS,WEDSTRIJDWIJN,
Y13,8026,26  ,DELIS,PRELEV.MERCHAND.,PRELEV. MERCHAND.,
Y11,8027,27  ,DELIS,SESSION REGION.,REGION. SESSIE,
Y09,8028,28  ,DELIS,Free Fruit For Kids,Free Fruit For Kids,
,    ,29  ,DELIS,REEMBALLAGE,HERVERPAKKING,
Y19,8030,30  ,DELIS,VOL,DIEFSTAL,
Y29,8031,31  ,DELIS,DC Deliv-Push Zero Shrink,DC Deliv – Push Zero Shrink,DC Deliv – Push Zero Shrink
Y13,8032,32  ,DELIS,Compensation Client,Tegemoetkoming Klant,
309,8033,33  ,DELIS,REPACK POISSON,REPACK VIS,
Y07,8034,34  ,DELIS,SPONSORING EVT LOCAL,LOKALE SPONSORING,
Y07,8035,35  ,DELIS,EVENT REINVOICING ,EVENT REINVOICING ,
Y19,8036,36  ,DELIS,PERTES FRI,VERLIES FRI,
Y19,8037,37  ,DELIS,PERTES INONDATIONS,VERLIES OVERSTROMING,
Y19,8038,38  ,DELIS,PERTES - AUTRES,VERLIES - ANDERE,
Y19,8044,44  ,DELIS,CASSE CAMION,BREUK TRANSPORT,
Y19,8045,45  ,DELIS,DLV DATE PASSEE,DLV OVER DATUM,
Y19,8046,46  ,DELIS,PROBLEME EMBALLAGE,VERPAKKINGSPROBLEEM,
Y19,8047,47  ,DELIS,PROBLEME QUALITE,KWALITEITSPROBLEEM,
,    ,49  ,DELIS,Usage pour recette,Gebruik voor recept,
Y13,8050,50  ,DELIS,MARCHANDISES POUR IKANA,GOEDEREN VOOR IKANA,
Y13,8051,51  ,DELIS,MARCHAND. POUR MEDIT. CORNER,GOEDEREN VOOR MEDIT. CORNER,
Y13,8052,52  ,DELIS,MARCHAND. POUR SUSHI GOURMET,GOEDEREN VOOR SUSHI GOURMET,
Y09,8053,53  ,DELIS,SHOOTING PHOTO,MONSTERS VOOR FOTOSHOOT,
Y19,8054,54  ,DELIS,Fruits salle de repos,Fruit rustzalen,
Y13,8055,55  ,DELIS,MARCHAND. POUR FRESH ATELIER,GOEDEREN VOOR FRESH ATELIER,
Y19,8056,56  ,DELIS,FRUIT & LEGUME FRESH ATELIER,FRUIT & GROENTEN FRESH ATELIER,
Y01,8057,57  ,DELIS,DESTRUCTION AUTORISEE,TOEGELATEN VERNIETIGING,
Y19,8059,59  ,DELIS,PERIME,BUIT. VERVALDAT.,
Y13,8060,60  ,DELIS,March. pour Souffriau,Goed. voor Souffriau,
Y13,8061,61  ,DELIS,March. Mr Georges,Goed. voor Mr Georges,
Y13,8062,62  ,DELIS,USAGE INTERNE,INTERN GEBRUIK,
Y13,8063,63  ,DELIS,Usage interne Head Office ,Intern gebruik Head Office ,
,    ,64  ,DELIS,GRATUIT FOURN.,GRATIS LEVERANCIER,
Y19,8065,65  ,DELIS,PERTE ENVOI D'OFFICE,VERLIES AUTOMATISCHE VERZENDING,
Y19,8066,66  ,DELIS,Tracabilite probleme,Tracabiliteit probleem,
Y19,8075,75  ,DELIS,PERTES & CASSES,BREUK & VERLIES,
,    ,761 ,DELIS,Promotion spéciale,Speciale promotie,
,    ,762 ,DELIS,Promotion spéciale,Speciale promotie,
Y09,8080,80  ,DELIS,USAGE EXTERNE,EXTERN GEBRUIK,
,    ,8029,DELIS,»Corr. REEMBALLAGE,»Corr. HERVERPAKKING,
,    ,8031,DELIS,,»Corr. DC Deliv – Push Zero Shrink,
Y18,8804,804 ,DELIS,»Corr. RETOUR CLIENT,»Corr. TERUGNAME KLANT,
Y07,8081,81  ,DELIS,Marketing community ,Marketing community ,
Y06,8811,811 ,DELIS,»Corr. CHARITE PERIME/CASSE,»Corr. LIEFDADIGHEID VERVALLEN/BREUK,
Y09,8082,82  ,DELIS,DEGUSTATION,DEGUSTATIE,
Y12,8827,827 ,DELIS,»Corr. SESSION REGION.,»Corr. REGION. SESSIE,
Y20,8830,830 ,DELIS,»Corr. VOL,»Corr. DIEFSTAL,
Y30,8831,831 ,DELIS,»Corr. DC Deliv-Push Zero Shrink,,»Corr. DC Deliv – Push Zero Shrink
Y20,8836,836 ,DELIS,»Corr. PERTES FRIGO,»Corr. VERLIES FRIGO,
Y20,8837,837 ,DELIS,»Corr. PERTES INONDATIONS,»Corr. VERLIES OVERSTROMING,
Y20,8838,838 ,DELIS,»Corr. PERTES - AUTRES,»Corr. VERLIES - ANDERE,
Y20,8844,844 ,DELIS,»Corr. CASSE CAMION,»Corr. BREUK TRANSPORT,
Y20,8845,845 ,DELIS,»Corr. DLV DATE PASSEE,»Corr. DLV OVER DATUM,
Y02,8857,857 ,DELIS,»Corr. DESTRUCTION AUTORISEE,»Corr. TOEGELATEN VERNIETIGING,
Y20,8859,859 ,DELIS,»Corr. PERIME,»Corr. BUIT. VERVALDAT.,
Y14,8862,862 ,DELIS,»Corr. USAGE INTERNE,»Corr. INTERN GEBRUIK,
Y20,8875,875 ,DELIS,»Corr. PERTES & CASSES,»Corr. BREUK & VERLIES,
